horizon,goal_offset,variant,baseline,n_seeds,seeds,n_episodes,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,min_seed_delta_pp,max_seed_delta_pp,wins,losses,ties,mcnemar_exact_p
5,40,baseline_k10,baseline_k3,1,42,50,52.0,62.0,-10.0,-26.0,4.0,-10.0,-10.0,5,10,35,0.3017578125
5,40,baseline_k5,baseline_k3,1,42,50,56.0,62.0,-6.0,-18.0,6.0,-6.0,-6.0,4,7,39,0.548828125
5,40,k3_multistart3x7,baseline_k3,1,42,50,70.0,62.0,8.0,2.0,16.0,8.0,8.0,4,0,46,0.125
5,40,k3_multistart_equalcompute3x100,baseline_k3,3,"7,42,123",150,62.666666666666664,62.666666666666664,0.0,-7.333333333333333,7.333333333333333,-6.0,4.0,15,15,120,1.0
5,40,k3_s100,baseline_k3,3,"7,42,123",150,59.333333333333336,62.666666666666664,-3.3333333333333335,-10.0,3.3333333333333335,-6.0,0.0,10,15,125,0.42435622215270996
5,40,k3_s900,baseline_k3,3,"7,42,123",150,66.0,62.666666666666664,3.3333333333333335,-2.6666666666666665,9.333333333333334,-8.0,10.0,13,8,129,0.38331031799316406
5,40,k3_to_k10_finalpop,baseline_k3,1,42,50,58.0,62.0,-4.0,-10.0,0.0,-4.0,-4.0,0,2,48,0.5
5,40,k3_to_k10_means,baseline_k3,1,42,50,58.0,62.0,-4.0,-10.0,0.0,-4.0,-4.0,0,2,48,0.5
5,40,k3_to_k10_refit10,baseline_k3,1,42,50,58.0,62.0,-4.0,-10.0,0.0,-4.0,-4.0,0,2,48,0.5
5,40,k3_to_k10_refit30,baseline_k3,1,42,50,60.0,62.0,-2.0,-6.0,0.0,-2.0,-2.0,0,1,49,1.0
5,40,k3_to_k10_refit5,baseline_k3,1,42,50,60.0,62.0,-2.0,-6.0,0.0,-2.0,-2.0,0,1,49,1.0
5,40,k3_to_k3_finalpop,baseline_k3,1,42,50,60.0,62.0,-2.0,-6.0,0.0,-2.0,-2.0,0,1,49,1.0
5,40,k3_to_k3_means,baseline_k3,1,42,50,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1.0
5,40,k3_to_k3_refit30,baseline_k3,1,42,50,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1.0
5,40,k3_to_k5_finalpop,baseline_k3,1,42,50,56.0,62.0,-6.0,-14.0,0.0,-6.0,-6.0,0,3,47,0.25
5,40,k3_to_k5_means,baseline_k3,1,42,50,60.0,62.0,-2.0,-6.0,0.0,-2.0,-2.0,0,1,49,1.0
5,40,k3_to_k5_refit30,baseline_k3,1,42,50,56.0,62.0,-6.0,-14.0,0.0,-6.0,-6.0,0,3,47,0.25
5,40,portfolio_equalcompute3x100,baseline_k3,3,"7,42,123",150,66.0,62.666666666666664,3.3333333333333335,-4.0,10.666666666666666,0.0,6.0,19,14,117,0.48685024166479707
5,40,portfolio_rank3x1,baseline_k3,1,42,50,66.0,62.0,4.0,-6.0,16.0,4.0,4.0,5,3,42,0.7265625
5,40,portfolio_rank3x7,baseline_k3,1,42,50,72.0,62.0,10.0,2.0,18.0,10.0,10.0,5,0,45,0.0625
5,40,shared_rankensemble3x100,baseline_k3,3,"7,42,123",150,8.0,62.666666666666664,-54.666666666666664,-62.666666666666664,-46.0,-56.0,-54.0,2,84,64,9.672843288041967e-23
